Sunday;18-30/19-00;
"LAD|712988","А13 Суботівська - Червоної Калини",712988,36301;1.13;1.12
"LAD|712991","А16 Сихівська - Залізничний вокзал",712991,36649;1.05;0.59
"LAD|713002","А27 Скнилів - Личаківська (АС-6)",713002,36618;1.24;1.25
"LAD|713010","А35 Трильовського - Польова",713010,36782;1.16;1.15
"LAD|949921","А30 Величковського - Новий Львів",949921,36424;1.08;1.01
"LAD|1527114","А54 вул. Антонича - Брюховичі",1527114,36899;1.50;1.52
"LAD|1723724","А53 Червоної Калини - Хмельницького",1723724,36868;1.15;1.15

Monday;00-00;
"LAD|1054553","Нічний А04 Червоної Калини - Центр - Залізничний вокзал",1054553,36649;0.46;0.45
