"lon","lat","code","name","id"
24.06728,49.78373,"0406","Трильовського",36294
24.0667748234177,49.7878199007936,"0411","Коломийська - Трильовського",36311
24.06733,49.79134,"0399","Кос-Анатольського",36321
24.0656872589302,49.7927076166353,"0398","Кавалерідзе",36326
24.06335,49.79447,"0426","Кавалерідзе",36332
24.05762,49.79466,"0455","к-тр ім. Довженка",36335
24.05384,49.79647,"0452","дит. поліклініка № 4",36339
24.04892,49.79897,"0450","ТК Шувар",36347
24.04549,49.81052,"0439","Угорська",36408
24.0423323464779,49.8123393195468,"0362","Карбишева",36424
24.04262,49.81377,"0422","Литвиненка",36435
24.03558,49.814,"0421","Кибальчича",36438
24.0286973042908,49.8161935335057,"0711","Енергетична",56127
24.02581,49.81666,"0408","Козельницька",36454
24.02308,49.81463,"0404","Податкова",36441
24.01994,49.81499,"0428","Податкова",36444
24.02044,49.82024,"0075","Дитяча залізниця",36483
24.02297,49.82515,"0076","Парк культури",36534
24.0323290152969,49.829382927858,"0081","Стрийський ринок",37290
24.03548,49.83383,"0292","Руставелі",36589
24.03487,49.83667,"0030","Шухевича",36627
24.0352320671082,49.8424038598667,"0057","Підвальна",36685
24.02792,49.84477,"0040","Театральна",36711
24.02564,49.84654,"0007","Чорновола",36727
24.02442,49.85117,"0615","ПК ім. Хоткевича",36752
24.02305,49.85433,"0616","Хімічна",36770
24.02299,49.85731,"0597","Шевченківська РА",36783
24.02751,49.86062,"0598","Замарстинівська",36798
24.03361,49.86362,"0599","Бетховена",36813
24.04142,49.8649,"0600","БТІ",36819
24.05168,49.86491,"0605","АС-2",36820
24.05239,49.86407,"0591","АС-2",36814
24.05045,49.86192,"0590","ТЦ Фуршет",36803
24.04735,49.85808,"0588","Височана",36789
24.04539,49.85527,"0272","Новознесенська",36775
24.05346,49.85552,"0273","Церква Богородиці",36776
24.0636,49.85697,"0289","Польова",36782
24.05365,49.85558,"0274","Церква Богородиці",36778
24.04547,49.85569,"0583","Новознесенська",36779
24.04745,49.85815,"0585","Височана",36790
24.05103,49.86228,"0587","ТЦ Фуршет",36807
24.05098,49.86513,"0601","АС-2",36822
24.04367,49.86527,"0607","Липинського - Миколайчука",36823
24.04077,49.86493,"0604","БТІ",36821
24.03264,49.86345,"0603","Бетховена",36812
24.0263,49.85974,"0602","Замарстинівська",36794
24.0217178954582,49.8561087233785,"0609","Шевченківська РА",36780
24.02271,49.85426,"0608","Хімічна",36769
24.024682488224,49.8497089629023,"0006","пл. 700-річчя",36742
24.0251564835186,49.8455111512905,"0705","Вагова",36723
24.03225,49.84434,"0021","Театр ляльок",36700
24.03484,49.84284,"0059","Підвальна",36688
24.03495,49.83697,"0029","Шухевича",36631
24.03532,49.83409,"0291","Руставелі",36592
24.0323665662231,49.8297947140832,"0080","Стрийський ринок",36561
24.02062,49.82412,"0567","Військова академія",36524
24.0202,49.82054,"0558","Дитяча залізниця",36488
24.01966,49.81496,"0566","Податкова",36442
24.02661,49.8167,"0419","Козельницька",36456
24.03581,49.81388,"0420","Кибальчича",36437
24.0381,49.81289,"0437","Церква Кирила і Мефодія",36425
24.04543,49.81033,"0438","Угорська",36407
24.0491357369842,49.7983850903556,"0449","ТК Шувар",36348
24.0515597374344,49.7971182382472,"0451","дит. поліклініка № 4",36343
24.06172,49.79398,"0424","к-тр ім. Довженка",36330
24.06441,49.79371,"0397","Кавалерідзе",36329
24.06755,49.791,"0400","Кос-Анатольського",36320
24.0661632797623,49.7874926106749,"0407","Трильовського - Коломийська",36312
24.0671549645233,49.7835499632695,"0406-01","Трильовського",37292
